PF00096 | CL0361
PF03080 | CL0004
PF03118 | CL0198
PF00274 | CL0105
PF07519 | CL0028
PF02836 | CL0036
PF00794 | CL0072
PF18372 | CL0001
PF00195 | CL0046
PF01335 | CL0041
PF00182 | CL0037
PF01414 | CL0001
PF16113 | CL0127
PF22042 | CL0105
PF17205 | CL0630
PF01180 | CL0036
PF04511 | CL0207
PF02005 | CL0063
PF06464 | CL0660
PF02727 | CL0047
PF08244 | CL0004
PF02933 | CL0402
PF01509 | CL0649
PF17871 | CL0671
PF06046 | CL0020
PF18020 | CL0159
PF01210 | CL0063
PF03398 | CL0235
PF09994 | CL0028
PF00456 | CL0254
PF00398 | CL0063
PF02014 | CL0159
PF13000 | CL0015
PF06813 | CL0015
PF21948 | CL0040
PF18016 | CL0003
PF02781 | CL0139
PF02629 | CL0063
PF01273 | CL0648
PF05735 | CL0004
PF02797 | CL0046
PF03630 | CL0108
PF01454 | CL0123
PF08541 | CL0046
PF05746 | CL0258
PF13813 | CL0517
PF03712 | CL0612
PF02735 | CL0616
PF00331 | CL0036
PF02991 | CL0072
PF01401 | CL0126
PF10602 | CL0020
PF03404 | CL0159
PF06585 | CL0648
PF01153 | CL0644
PF07524 | CL0012
PF06327 | CL0276
PF00828 | CL0588
PF00380 | CL0329
PF01873 | CL0123
PF00479 | CL0063
PF00778 | CL0072
PF06687 | CL0375
PF13243 | CL0059
PF00924 | CL0010
PF00430 | CL0255
PF00750 | CL0039
PF04525 | CL0395
PF00645 | CL0167
PF11051 | CL0110
PF06268 | CL0066
PF03321 | CL0378
PF05222 | CL0063
PF01966 | CL0237
PF00452 | CL0551
PF07810 | CL0416
PF00278 | CL0105
PF01406 | CL0039
PF03283 | CL0028
PF14845 | CL0546
PF13537 | CL0052
PF13508 | CL0257
PF03060 | CL0036
PF03600 | CL0182
PF05783 | CL0023
PF07479 | CL0106
PF03803 | CL0395
PF07522 | CL0398
PF04218 | CL0123
PF08142 | CL0105
PF01702 | CL0036
PF07915 | CL0226
PF01082 | CL0612
PF01176 | CL0021
PF02812 | CL0603
PF00672 | CL0681
PF03092 | CL0015
PF05063 | CL0063
PF03388 | CL0004
PF07978 | CL0032
PF09118 | CL0159
PF00174 | CL0072
PF03368 | CL0196
PF01793 | CL0110
PF13249 | CL0059
PF02897 | CL0186
PF11904 | CL0048
PF01968 | CL0108
PF22544 | CL0159
PF00810 | CL0141
PF00883 | CL0105
PF05047 | CL0172
PF02540 | CL0039
PF13606 | CL0465
PF02728 | CL0047
PF00243 | CL0079
PF21679 | CL0266
PF03731 | CL0128
PF13901 | CL0229
PF16575 | CL0023
PF08156 | CL0759
PF01204 | CL0059
PF03358 | CL0042
PF13234 | CL0010
PF01588 | CL0021
PF00204 | CL0329
PF08373 | CL0236
PF00316 | CL0171
PF06398 | CL0484
PF04072 | CL0063
PF03463 | CL0267
PF12701 | CL0010
PF06456 | CL0145
PF14749 | CL0544
PF06068 | CL0023
PF03367 | CL0167
PF10342 | CL0159
PF02347 | CL0061
PF16900 | CL0021
PF21581 | CL0020
PF07646 | CL0186
PF21477 | CL0266
PF01321 | CL0356
PF02437 | CL0123
PF03465 | CL0101
PF05725 | CL0022
PF03464 | CL0267
PF05670 | CL0684
PF05378 | CL0108
PF03177 | CL0020
PF05705 | CL0028
PF00769 | CL0719
PF02922 | CL0369
PF04677 | CL0265
PF08546 | CL0106
PF01268 | CL0023
PF01507 | CL0039
PF04157 | CL0123
PF19026 | CL0214
PF04802 | CL0020
PF04832 | CL0319
PF19050 | CL0163
PF03087 | CL0133
PF01457 | CL0126
PF01083 | CL0028
PF03328 | CL0036
PF01012 | CL0039
PF12068 | CL0266
PF03650 | CL0141
PF01925 | CL0292
PF12012 | CL0382
PF03265 | CL0479
PF06220 | CL0361
PF10374 | CL0020
PF05186 | CL0068
PF04280 | CL0051
PF16367 | CL0221
PF03175 | CL0194
PF03969 | CL0023
PF02475 | CL0063
PF06201 | CL0202
PF00961 | CL0324
PF05637 | CL0110
PF00287 | CL0159
PF01323 | CL0172
PF13679 | CL0063
PF06966 | CL0115
PF06027 | CL0184
PF01936 | CL0280
PF04089 | CL0814
PF00366 | CL0021
PF01333 | CL0105
PF08801 | CL0186
PF08514 | CL0020
PF21362 | CL0229
PF06418 | CL0023
PF08372 | CL0484
PF13476 | CL0023
PF22597 | CL0671
PF07986 | CL0391
PF01261 | CL0036
PF02558 | CL0063
PF01619 | CL0036
PF17784 | CL0023
PF07894 | CL0479
PF00497 | CL0177
PF00709 | CL0023
PF01285 | CL0123
PF14716 | CL0198
PF03987 | CL0097
PF00166 | CL0296
PF00393 | CL0106
PF14792 | CL0260
PF05175 | CL0063
PF14748 | CL0106
PF01712 | CL0023
PF04059 | CL0221
PF16073 | CL0323
PF01246 | CL0175
PF00185 | CL0063
PF15409 | CL0266
PF02359 | CL0199
PF00268 | CL0044
PF10324 | CL0192
PF01630 | CL0036
PF04191 | CL0115
PF03227 | CL0172
PF00049 | CL0239
PF01641 | CL0080
PF13911 | CL0172
PF07528 | CL0260
PF00235 | CL0431
PF10391 | CL0198
PF03641 | CL0349
PF00273 | CL0282
PF02517 | CL0472
PF04900 | CL0280
PF19037 | CL0431
PF17801 | CL0369
PF05253 | CL0361
PF04410 | CL0105
PF16641 | CL0511
PF07657 | CL0154
PF02516 | CL0111
PF12436 | CL0072
PF05875 | CL0192
PF19036 | CL0431
PF02297 | CL0351
PF03853 | CL0063
PF03088 | CL0186
PF03643 | CL0135
PF03364 | CL0209
PF04824 | CL0157
PF12717 | CL0020
PF04670 | CL0023
PF20147 | CL0072
PF06087 | CL0479
PF07250 | CL0186
PF01648 | CL0670
PF07393 | CL0020
PF10291 | CL0448
PF13391 | CL0263
PF12678 | CL0229
PF12832 | CL0015
PF05050 | CL0063
PF02872 | CL0781
PF01170 | CL0063
PF17751 | CL0159
PF17787 | CL0266
PF19035 | CL0692
PF08356 | CL0220
PF05277 | CL0028
PF14671 | CL0031
PF08799 | CL0306
PF01171 | CL0039
PF10257 | CL0020
PF16366 | CL0782
PF03198 | CL0036
PF06094 | CL0278
PF10456 | CL0145
PF02010 | CL0159
PF16770 | CL0459
PF21014 | CL0582
PF03036 | CL0718
PF11977 | CL0280
PF17834 | CL0369
PF00416 | CL0303
PF14523 | CL0445
PF09127 | CL0020
PF13622 | CL0050
PF01231 | CL0380
PF07876 | CL0032
PF01212 | CL0061
PF04199 | CL0364
PF01168 | CL0036
PF14360 | CL0525
PF01644 | CL0110
PF07723 | CL0022
PF16414 | CL0644
PF02197 | CL0068
PF01137 | CL0290
PF16207 | CL0072
PF08543 | CL0118
PF04091 | CL0020
PF13378 | CL0036
PF01981 | CL0305
PF02096 | CL0376
PF08154 | CL0072
PF00037 | CL0344
PF00692 | CL0153
PF03152 | CL0402
PF08357 | CL0173
PF02392 | CL0266
PF01783 | CL0167
PF03020 | CL0306
PF00775 | CL0287
PF04755 | CL0116
PF04068 | CL0344
PF14324 | CL0202
PF22566 | CL0214
PF13364 | CL0202
PF01202 | CL0023
PF02055 | CL0036
PF02867 | CL0339
PF06544 | CL0622
PF04570 | CL0175
PF10401 | CL0357
PF03360 | CL0110
PF21317 | CL0202
PF01974 | CL0236
PF00344 | CL0376
PF08386 | CL0028
PF16123 | CL0381
PF13439 | CL0113
PF10604 | CL0209
PF20651 | CL0020
PF03402 | CL0192
PF04628 | CL0431
PF01014 | CL0334
PF00465 | CL0224
PF01299 | CL0721
PF14306 | CL0178
PF00932 | CL0159
PF01747 | CL0039
PF08534 | CL0172
PF07200 | CL0596
PF08271 | CL0167
PF03721 | CL0063
PF12569 | CL0020
PF00993 | CL0343
PF05691 | CL0036
PF01106 | CL0232
PF12838 | CL0344
PF03876 | CL0319
PF04884 | CL0015
PF19038 | CL0431
PF13401 | CL0023
PF08501 | CL0603
PF10162 | CL0059
PF10469 | CL0247
PF08547 | CL0202
PF02837 | CL0202
PF03781 | CL0056
PF17856 | CL0671
PF00923 | CL0036
PF10509 | CL0329
PF03992 | CL0032
PF04991 | CL0260
PF17677 | CL0369
PF00812 | CL0026
PF02636 | CL0063
PF01142 | CL0649
PF00586 | CL0804
PF01442 | CL0725
PF08758 | CL0159
PF07650 | CL0007
PF13696 | CL0511
PF03874 | CL0426
PF07910 | CL0125
PF02099 | CL0125
PF01746 | CL0098
PF08683 | CL0350
PF17216 | CL0021
PF01103 | CL0193
PF09066 | CL0545
PF04099 | CL0431
PF14533 | CL0072
PF05236 | CL0012
PF14438 | CL0010
PF02386 | CL0030
PF19303 | CL0258
PF01918 | CL0441
PF17832 | CL0668
PF05296 | CL0192
PF20425 | CL0020
PF08321 | CL0020
PF20434 | CL0028
PF22631 | CL0220
PF03281 | CL0260
PF01541 | CL0418
PF02995 | CL0088
PF21119 | CL0020
PF02127 | CL0105
PF00580 | CL0023
PF04185 | CL0088
PF01597 | CL0105
PF13656 | CL0509
PF14547 | CL0482
PF08540 | CL0046
PF12260 | CL0016
PF15985 | CL0007
PF11744 | CL0307
PF16453 | CL0266
PF17389 | CL0059
PF08174 | CL0154
PF07725 | CL0022
PF08652 | CL0236
PF17123 | CL0229
PF20413 | CL0760
PF18404 | CL0110
PF01755 | CL0110
PF01120 | CL0036
PF13515 | CL0307
PF18803 | CL0687
PF19031 | CL0431
PF17942 | CL0329
PF04054 | CL0020
PF01244 | CL0036
PF04762 | CL0186
PF02219 | CL0036
PF04756 | CL0172
PF09668 | CL0129
PF01079 | CL0363
PF01243 | CL0336
PF06312 | CL0159
PF14560 | CL0072
PF02199 | CL0707
PF09382 | CL0123
PF01505 | CL0666
PF01812 | CL0063
PF20206 | CL0020
PF00670 | CL0063
PF04383 | CL0123
PF21787 | CL0219
PF04827 | CL0219
PF03935 | CL0004
PF02269 | CL0012
PF10326 | CL0192
PF01359 | CL0219
PF04140 | CL0115
PF10282 | CL0186
PF15494 | CL0550
PF04030 | CL0277
PF15277 | CL0266
PF22601 | CL0229
PF09128 | CL0272
PF08585 | CL0021
PF05147 | CL0059
PF03917 | CL0063
PF08603 | CL0391
PF02403 | CL0298
PF10354 | CL0063
PF05743 | CL0208
PF01154 | CL0046
PF22622 | CL0050
PF10186 | CL0551
PF02799 | CL0257
PF00281 | CL0652
PF07700 | CL0210
PF20210 | CL0020
PF17064 | CL0117
PF02115 | CL0159
PF01743 | CL0260
PF03024 | CL0644
PF05207 | CL0167
PF03881 | CL0016
PF08704 | CL0063
PF15469 | CL0020
PF20511 | CL0029
PF00821 | CL0374
PF10242 | CL0375
PF03291 | CL0063
PF10263 | CL0126
PF01233 | CL0257
PF05617 | CL0482
PF02567 | CL0288
PF10366 | CL0020
PF03200 | CL0059
PF17725 | CL0159
PF01789 | CL0619
PF16010 | CL0559
PF00984 | CL0106
PF09240 | CL0159
PF01487 | CL0036
PF02733 | CL0245
PF09735 | CL0715
PF15511 | CL0012
PF01858 | CL0065
PF21990 | CL0541
PF18402 | CL0172
PF09067 | CL0159
PF06990 | CL0023
PF16415 | CL0020
PF08311 | CL0020
PF21052 | CL0020
PF21235 | CL0214
PF02678 | CL0029
PF01121 | CL0023
PF09111 | CL0123
PF09229 | CL0648
PF09811 | CL0255
PF08767 | CL0020
PF04840 | CL0020
PF04960 | CL0013
PF08324 | CL0020
PF17958 | CL0220
PF08073 | CL0114
PF12053 | CL0072
PF01770 | CL0015
PF07819 | CL0028
PF17903 | CL0007
PF11841 | CL0020
PF05010 | CL0679
PF02721 | CL0021
PF21895 | CL0774
PF03467 | CL0221
PF02926 | CL0747
PF00311 | CL0036
PF18400 | CL0172
PF08123 | CL0063
PF18401 | CL0172
PF05008 | CL0147
PF04101 | CL0113
PF18403 | CL0172
PF06957 | CL0020
PF08569 | CL0020
PF21485 | CL0010
PF05004 | CL0020
PF20789 | CL0050
PF10034 | CL0111
PF04734 | CL0635
PF02129 | CL0028
PF00471 | CL0167
PF17781 | CL0020
PF17800 | CL0055
PF08583 | CL0351
PF14382 | CL0105
PF14683 | CL0202
PF12157 | CL0662
PF07976 | CL0172
PF01326 | CL0179
PF11894 | CL0020
PF01717 | CL0036
PF21505 | CL0020
PF16158 | CL0159
PF04752 | CL0278
PF19259 | CL0523
PF00756 | CL0028
PF00143 | CL0053
PF10568 | CL0172
PF20510 | CL0029
PF06427 | CL0110
PF04862 | CL0202
PF00213 | CL0255
PF06058 | CL0266
PF21199 | CL0202
PF01857 | CL0065
PF01227 | CL0334
PF00186 | CL0387
PF17887 | CL0266
PF01393 | CL0010
PF01080 | CL0130
PF07985 | CL0063
PF01126 | CL0230
PF14686 | CL0287
PF06963 | CL0015
PF20654 | CL0020
PF12505 | CL0159
PF10275 | CL0125
PF01373 | CL0036
PF04057 | CL0021
PF05224 | CL0073
PF05470 | CL0020
PF16198 | CL0649
PF01208 | CL0036
PF08325 | CL0126
PF04100 | CL0020
PF09729 | CL0274
PF05572 | CL0126
PF06309 | CL0023
PF22441 | CL0172
PF03022 | CL0186
PF21310 | CL0159
PF00862 | CL0113
PF01205 | CL0329
PF03635 | CL0020
PF13961 | CL0523
PF08596 | CL0186
PF04095 | CL0036
PF18377 | CL0632
PF04646 | CL0110
PF09588 | CL0236
PF16739 | CL0041
PF10475 | CL0020
PF16622 | CL0361
PF08752 | CL0159
PF14369 | CL0167
PF14269 | CL0186
PF16866 | CL0229
PF17144 | CL0267
PF02184 | CL0020
PF09794 | CL0330
PF04495 | CL0466
PF16417 | CL0020
PF06026 | CL0063
PF07474 | CL0069
PF05693 | CL0113
PF08840 | CL0028
PF21034 | CL0186
PF09268 | CL0020
PF06071 | CL0072
PF00077 | CL0129
PF14033 | CL0029
PF05212 | CL0110
PF02265 | CL0368
PF10403 | CL0700
PF04118 | CL0020
PF03439 | CL0439
PF04801 | CL0662
PF14836 | CL0072
PF02374 | CL0023
PF01287 | CL0021
PF11790 | CL0036
PF05958 | CL0063
PF02390 | CL0063
PF00062 | CL0037
PF08491 | CL0063
PF02894 | CL0139
PF01331 | CL0179
PF21180 | CL0413
PF10405 | CL0123
PF12031 | CL0020
PF02545 | CL0269
PF02223 | CL0023
PF03571 | CL0126
PF13088 | CL0186
PF12862 | CL0020
PF13872 | CL0023
PF03332 | CL0137
PF00809 | CL0036
PF03224 | CL0020
PF14691 | CL0344
PF01991 | CL0255
PF04209 | CL0029
PF18379 | CL0632
PF11817 | CL0020
PF10262 | CL0172
PF06009 | CL0004
PF18031 | CL0614
PF00762 | CL0043
PF06702 | CL0016
PF16653 | CL0139
PF02487 | CL0015
PF00103 | CL0053
PF07933 | CL0266
PF02296 | CL0545
PF16114 | CL0506
PF07942 | CL0063
PF09425 | CL0281
PF13778 | CL0172
PF03162 | CL0031
PF07575 | CL0020
PF07969 | CL0036
PF17111 | CL0587
PF09763 | CL0020
PF18038 | CL0072
PF06911 | CL0023
PF01916 | CL0063
PF03662 | CL0036
PF00870 | CL0073
PF04908 | CL0172
PF07571 | CL0020
PF03071 | CL0110
PF03074 | CL0286
PF18264 | CL0809
PF01929 | CL0010
PF01963 | CL0572
PF09243 | CL0063
PF17807 | CL0229
PF05327 | CL0020
PF08719 | CL0787
PF03561 | CL0202
PF13840 | CL0070
PF12859 | CL0186
PF04377 | CL0257
PF16511 | CL0072
PF21033 | CL0020
PF05715 | CL0229
PF04127 | CL0063
PF05971 | CL0063
PF14622 | CL0539
PF06609 | CL0015
PF05049 | CL0023
PF01060 | CL0287
PF02172 | CL0589
PF13871 | CL0023
PF02229 | CL0609
PF10318 | CL0192
PF12026 | CL0705
PF06083 | CL0079
PF10296 | CL0648
PF11934 | CL0065
PF02630 | CL0172
PF07162 | CL0154
PF17817 | CL0466
PF09058 | CL0614
PF00853 | CL0073
PF00401 | CL0753
PF17759 | CL0040
PF03835 | CL0125
PF07971 | CL0059
PF03720 | CL0039
PF01187 | CL0082
PF00919 | CL0304
PF16335 | CL0059
PF22606 | CL0671
PF06218 | CL0435
PF01379 | CL0177
PF18366 | CL0361
PF17904 | CL0007
PF01725 | CL0269
PF01956 | CL0376
PF14538 | CL0093
PF21478 | CL0061
PF19273 | CL0020
PF17674 | CL0198
PF03145 | CL0389
PF17135 | CL0588
PF17835 | CL0669
PF03878 | CL0112
PF04321 | CL0063
PF04841 | CL0186
PF04506 | CL0222
PF08314 | CL0020
PF13361 | CL0023
PF18876 | CL0746
PF04775 | CL0159
PF08158 | CL0020
PF21999 | CL0198
PF00834 | CL0036
PF05742 | CL0052
PF08623 | CL0020
PF08783 | CL0072
PF08446 | CL0183
PF03483 | CL0383
PF08433 | CL0023
PF01071 | CL0179
PF12830 | CL0020
PF16418 | CL0020
PF21436 | CL0801
PF00797 | CL0125
PF05631 | CL0015
PF04869 | CL0020
PF05028 | CL0223
PF05891 | CL0063
PF21047 | CL0020
PF22493 | CL0020
PF02934 | CL0286
PF16652 | CL0266
PF14633 | CL0541
PF08161 | CL0020
PF04080 | CL0192
PF22468 | CL0070
PF14569 | CL0229
PF07887 | CL0073
PF02537 | CL0184
PF02978 | CL0123
PF21071 | CL0020
PF06090 | CL0016
PF12765 | CL0020
PF17790 | CL0159
PF02969 | CL0012
PF22041 | CL0497
PF01613 | CL0336
PF18787 | CL0020
PF21800 | CL0007
PF01786 | CL0044
PF16526 | CL0452
PF03659 | CL0036
PF11865 | CL0020
PF07065 | CL0179
PF01157 | CL0010
PF03501 | CL0123
PF00831 | CL0346
PF10350 | CL0020
PF16901 | CL0667
PF18808 | CL0020
PF09445 | CL0063
PF13085 | CL0486
PF00900 | CL0021
PF06022 | CL0411
PF17786 | CL0159
PF01245 | CL0010
PF13015 | CL0226
PF16381 | CL0545
PF00310 | CL0052
PF00977 | CL0036
PF10351 | CL0760
PF21114 | CL0202
PF00034 | CL0318
PF06888 | CL0137
PF03484 | CL0123
PF08737 | CL0135
PF21692 | CL0705
PF04078 | CL0020
PF07693 | CL0023
PF13180 | CL0466
PF21021 | CL0172
PF00881 | CL0529
PF13718 | CL0257
PF03496 | CL0084
PF07779 | CL0316
PF03942 | CL0098
PF04636 | CL0423
PF22314 | CL0322
PF17048 | CL0159
PF16899 | CL0065
PF07994 | CL0063
PF01116 | CL0036
PF05770 | CL0179
PF01488 | CL0063
PF10237 | CL0063
PF04049 | CL0020
PF01902 | CL0039
PF04898 | CL0036
PF04124 | CL0020
PF07995 | CL0186
PF09454 | CL0596
PF05021 | CL0366
PF01645 | CL0036
PF21055 | CL0020
PF05994 | CL0715
PF06858 | CL0023
PF03179 | CL0255
PF04139 | CL0060
PF02746 | CL0227
PF20671 | CL0020
PF00585 | CL0070
PF05405 | CL0255
PF04847 | CL0221
PF14513 | CL0220
PF17172 | CL0172
PF06762 | CL0131
PF12460 | CL0020
PF21255 | CL0229
PF12456 | CL0266
PF04097 | CL0020
PF08367 | CL0094
PF04916 | CL0052
PF01885 | CL0084
PF21127 | CL0745
PF10033 | CL0651
PF22602 | CL0051
PF01118 | CL0063
PF18777 | CL0020
PF04184 | CL0020
PF09271 | CL0073
PF16474 | CL0016
PF02844 | CL0063
PF10479 | CL0760
PF02017 | CL0072
PF18829 | CL0020
PF12722 | CL0456
PF11701 | CL0020
PF08913 | CL0705
PF10328 | CL0192
PF17189 | CL0369
PF21376 | CL0671
PF01451 | CL0031
PF13881 | CL0072
PF01808 | CL0109
PF01687 | CL0105
PF00215 | CL0036
PF02994 | CL0221
PF06468 | CL0154
PF00800 | CL0177
PF17678 | CL0103
PF03211 | CL0268
PF05118 | CL0029
PF02900 | CL0283
PF06477 | CL0532
PF11935 | CL0020
PF16845 | CL0320
PF17980 | CL0229
PF09412 | CL0695
PF11698 | CL0020
PF00838 | CL0080
PF08318 | CL0020
PF21524 | CL0123
PF17851 | CL0004
PF03079 | CL0029
PF12812 | CL0466
PF13673 | CL0257
PF13023 | CL0237
PF05153 | CL0237
PF03070 | CL0230
PF09079 | CL0123
PF07156 | CL0063
PF11700 | CL0015
PF20655 | CL0020
PF01256 | CL0118
PF10404 | CL0700
PF04104 | CL0242
PF00576 | CL0287
PF03378 | CL0020
PF11917 | CL0382
PF15963 | CL0123
PF05127 | CL0023
PF04376 | CL0257
PF04910 | CL0020
PF00463 | CL0036
PF21103 | CL0266
PF07847 | CL0029
PF16528 | CL0020
PF08216 | CL0020
PF14558 | CL0532
PF13281 | CL0020
PF09797 | CL0020
PF22916 | CL0023
PF05724 | CL0063
PF01134 | CL0063
PF06482 | CL0056
PF08212 | CL0116
PF21326 | CL0167
PF18861 | CL0159
PF02513 | CL0010
PF03908 | CL0147
PF22732 | CL0010
PF10236 | CL0023
PF14635 | CL0198
PF03972 | CL0722
PF00296 | CL0036
PF08490 | CL0194
PF09289 | CL0001
PF01592 | CL0233
PF04188 | CL0111
PF02843 | CL0105
PF01896 | CL0243
PF07569 | CL0186
PF13965 | CL0192
PF00436 | CL0021
PF03690 | CL0137
PF01251 | CL0652
PF04683 | CL0266
PF08327 | CL0209
PF02150 | CL0167
PF08645 | CL0137
PF20653 | CL0020
PF17390 | CL0749
PF21634 | CL0021
PF12513 | CL0745
PF13613 | CL0123
PF09139 | CL0260
PF01247 | CL0105
PF04814 | CL0123
PF12719 | CL0020
PF09141 | CL0705
PF05131 | CL0186
PF01269 | CL0063
PF05625 | CL0023
PF04959 | CL0361
PF21143 | CL0105
PF15924 | CL0113
PF08530 | CL0202
PF17215 | CL0021
PF01900 | CL0734
PF04136 | CL0020
PF05208 | CL0111
PF05158 | CL0123
PF07539 | CL0020
PF02750 | CL0179
PF16203 | CL0023
PF18262 | CL0123
PF14303 | CL0573
PF02628 | CL0328
PF10184 | CL0051
PF07984 | CL0260
PF04086 | CL0431
PF01262 | CL0063
PF09402 | CL0123
PF21162 | CL0063
PF16399 | CL0020
PF03531 | CL0266
PF10058 | CL0167
PF21404 | CL0754
PF01667 | CL0167
PF03099 | CL0040
PF00766 | CL0063
PF00731 | CL0224
PF09430 | CL0287
PF07576 | CL0221
PF03067 | CL0159
PF20662 | CL0020
PF02747 | CL0060
PF06294 | CL0188
PF19279 | CL0701
PF17959 | CL0220
PF02291 | CL0012
PF05826 | CL0629
PF01127 | CL0335
PF03919 | CL0021
PF14378 | CL0525
PF17292 | CL0266
PF04437 | CL0020
PF13725 | CL0123
PF00197 | CL0066
PF21148 | CL0795
PF12063 | CL0745
PF05187 | CL0344
PF03414 | CL0110
PF01090 | CL0123
PF08351 | CL0023
PF03045 | CL0079
PF14639 | CL0580
PF19282 | CL0020
PF04658 | CL0662
PF14701 | CL0036
PF01195 | CL0408
PF05148 | CL0063
PF05557 | CL0724
PF02002 | CL0123
PF20470 | CL0123
PF07019 | CL0706
PF13691 | CL0381
PF04765 | CL0110
PF17767 | CL0105
PF05185 | CL0063
PF04056 | CL0128
PF08644 | CL0266
PF04729 | CL0159
PF12341 | CL0186
PF02076 | CL0192
PF02163 | CL0126
PF09790 | CL0020
PF03666 | CL0435
PF00677 | CL0105
PF06280 | CL0159
PF03007 | CL0149
PF20302 | CL0090
PF09810 | CL0236
PF22151 | CL0344
PF13878 | CL0361
PF08712 | CL0738
PF18201 | CL0190
PF14806 | CL0545
PF21864 | CL0570
PF19193 | CL0186
PF05091 | CL0236
PF05132 | CL0662
PF18511 | CL0271
PF03382 | CL0022
PF05726 | CL0029
PF08784 | CL0123
PF09734 | CL0123
PF03468 | CL0221
PF17982 | CL0229
PF01293 | CL0374
PF21056 | CL0219
PF04177 | CL0020
PF18055 | CL0020
PF07718 | CL0159
PF16579 | CL0573
PF00490 | CL0036
PF08068 | CL0649
PF01351 | CL0219
PF00793 | CL0036
PF10596 | CL0363
PF07034 | CL0023
PF21192 | CL0021
PF10357 | CL0123
PF10230 | CL0028
PF03517 | CL0266
PF13695 | CL0317
PF07517 | CL0023
PF08568 | CL0020
PF02233 | CL0063
PF01676 | CL0088
PF02270 | CL0123
PF03847 | CL0012
PF08609 | CL0020
PF17405 | CL0260
PF22749 | CL0028
PF06202 | CL0059
PF10544 | CL0418
PF22700 | CL0329
PF10337 | CL0307
PF18334 | CL0010
PF17865 | CL0671
PF02018 | CL0202
PF20238 | CL0159
PF12036 | CL0192
PF20663 | CL0020
PF03259 | CL0431
PF04300 | CL0202
PF17285 | CL0036
PF00340 | CL0066
PF01512 | CL0105
PF00708 | CL0622
PF09949 | CL0137
PF10261 | CL0525
PF14826 | CL0356
PF02167 | CL0318
PF14578 | CL0105
PF07817 | CL0020
PF18336 | CL0010
PF07967 | CL0417
PF04098 | CL0196
PF04690 | CL0114
PF00639 | CL0487
PF16854 | CL0020
PF19039 | CL0266
PF21193 | CL0010
PF02192 | CL0072
PF08640 | CL0020
PF12851 | CL0029
PF16087 | CL0123
PF03850 | CL0128
PF09270 | CL0066
PF01761 | CL0224
PF09423 | CL0163
PF20667 | CL0020
PF00705 | CL0060
PF18018 | CL0021
PF12248 | CL0004
PF19305 | CL0697
PF19033 | CL0431
PF17286 | CL0799
PF13599 | CL0505
PF04182 | CL0123
PF13880 | CL0257
PF03587 | CL0098
PF10021 | CL0223
PF06328 | CL0159
PF01876 | CL0036
PF01470 | CL0379
PF12534 | CL0375
PF18124 | CL0072
PF09090 | CL0020
PF04768 | CL0257
PF07535 | CL0361
PF06870 | CL0662
PF08696 | CL0236
PF09359 | CL0273
PF05822 | CL0137
PF09439 | CL0023
PF02637 | CL0279
PF20416 | CL0020
PF16983 | CL0062
PF00848 | CL0209
PF17652 | CL0059
PF21276 | CL0361
PF10255 | CL0020
PF09262 | CL0402
PF06881 | CL0271
PF00711 | CL0075
PF03297 | CL0123
PF10321 | CL0192
PF06979 | CL0266
PF09202 | CL0123
PF04005 | CL0060
PF08288 | CL0113
PF04129 | CL0020
PF01883 | CL0232
PF05066 | CL0123
PF05517 | CL0220
PF13350 | CL0031
PF05007 | CL0111
PF18382 | CL0072
PF18263 | CL0123
PF13423 | CL0125
PF10345 | CL0020
PF09416 | CL0229
PF18376 | CL0677
PF14702 | CL0369
PF01875 | CL0283
PF00827 | CL0652
PF09814 | CL0552
PF10394 | CL0361
PF06148 | CL0020
PF07110 | CL0032
PF09088 | CL0020
PF09377 | CL0437
PF09770 | CL0020
PF08660 | CL0113
PF04048 | CL0020
PF04050 | CL0020
PF04379 | CL0159
PF01938 | CL0021
PF03966 | CL0167
PF03871 | CL0236
PF04922 | CL0111
PF00764 | CL0039
PF18101 | CL0016
PF18452 | CL0159
PF08777 | CL0221
PF01274 | CL0036
PF08772 | CL0167
PF01215 | CL0045
PF17146 | CL0280
PF16923 | CL0103
PF04034 | CL0098
PF06419 | CL0020
PF02761 | CL0220
PF02765 | CL0021
PF12353 | CL0511
PF07934 | CL0407
PF21245 | CL0020
PF03813 | CL0260
PF18129 | CL0010
PF14636 | CL0431
PF11648 | CL0080
PF07470 | CL0059
PF09768 | CL0126
PF01381 | CL0123
PF16906 | CL0010
PF02762 | CL0541
PF14630 | CL0123
PF13918 | CL0479
PF08007 | CL0029
PF03998 | CL0037
PF03943 | CL0214
PF18332 | CL0010
PF01474 | CL0036
PF01035 | CL0123
PF04542 | CL0123
PF15913 | CL0547
PF05587 | CL0159
PF20649 | CL0020
PF00280 | CL0367
PF00935 | CL0167
PF14663 | CL0542
PF12899 | CL0059
PF03801 | CL0188
PF18137 | CL0123
PF09507 | CL0123
PF02436 | CL0597
PF07227 | CL0229
PF13664 | CL0430
PF21353 | CL0183
PF04845 | CL0609
PF18290 | CL0261
PF03068 | CL0197
PF12032 | CL0678
PF08952 | CL0221
PF16679 | CL0123
PF07502 | CL0168
PF03737 | CL0364
PF06964 | CL0369
PF12922 | CL0020
PF07722 | CL0014
PF19440 | CL0020
PF09749 | CL0247
PF16282 | CL0123
PF14441 | CL0109
PF02921 | CL0300
PF21266 | CL0021
PF04190 | CL0020
PF01868 | CL0639
PF04685 | CL0059
PF13593 | CL0064
PF21405 | CL0754
PF08144 | CL0020
